PRODUCT_SERIES	PRODUCT_CATEGORY	INSURANCE_PLAN	NAME	ACTIVATION_DATE	warrenty_years	INSURANCE_YEARS	SOLD_DATE	PRODUICT_SOLD	PRODUCT_PRICE	INSURANCE_PRICE	ACTIVATED	REPAIRS	Repair_cost
9	2	1	Sample Product	2000-1-1	19	25	2000-1-1	1826	2574.0	3088.7999999999997	0	5	5148.0	
9	2	3	Sample Product	2000-1-1	9	15	2000-1-1	1171	1170.0	1404.0	0	8	2340.0	
9	1	0	Sample Product	2000-1-1	1	7	2000-1-1	1595	4868.0	5841.599999999999	1	10	9736.0	
9	3	2	Sample Product	2000-1-1	15	21	2000-1-1	1590	3624.0	4348.8	0	3	7248.0	
10	2	0	Sample Product	2000-1-1	12	18	2000-1-1	279	3014.0	3616.7999999999997	0	4	6028.0	
10	3	0	Sample Product	2000-1-1	2	8	2000-1-1	1616	3783.0	4539.599999999999	1	2	7566.0	
10	3	1	Sample Product	2000-1-1	4	10	2000-1-1	337	2015.0	2418.0	0	4	4030.0	
10	3	3	Sample Product	2000-1-1	1	7	2000-1-1	1620	3452.0	4142.4	0	7	6904.0	
11	1	3	Sample Product	2000-1-1	6	12	2000-1-1	1744	2803.0	3363.6	0	9	5606.0	
11	3	1	Sample Product	2000-1-1	15	21	2000-1-1	1727	890.0	1068.0	0	6	1780.0	
11	2	1	Sample Product	2000-1-1	7	13	2000-1-1	602	2414.0	2896.7999999999997	0	9	4828.0	
11	3	1	Sample Product	2000-1-1	19	25	2000-1-1	82	4861.0	5833.2	0	4	9722.0	
12	3	1	Sample Product	2000-1-1	5	11	2000-1-1	1396	1045.0	1254.0	0	7	2090.0	
12	1	1	Sample Product	2000-1-1	13	19	2000-1-1	1392	2419.0	2902.7999999999997	0	0	4838.0	
 
12	1	1	Sample Product	2000-1-1	7	13	2000-1-1	170	3704.0	4444.8	0	7	7408.0	
13	3	2	Sample Product	2000-1-1	3	9	2000-1-1	1713	4975.0	5970.0	0	0	9950.0	
13	2	1	Sample Product	2000-1-1	0	6	2000-1-1	1837	381.0	457.2	0	6	762.0	
 
 
 
14	3	2	Sample Product	2000-1-1	18	24	2000-1-1	939	2115.0	2538.0	1	0	4230.0	
14	4	2	Sample Product	2000-1-1	4	10	2000-1-1	390	4264.0	5116.8	0	7	8528.0	
 
15	4	2	Sample Product	2000-1-1	2	8	2000-1-1	1417	1264.0	1516.8	1	4	2528.0	
 
15	3	1	Sample Product	2000-1-1	18	24	2000-1-1	1248	1239.0	1486.8	1	3	2478.0	
15	1	2	Sample Product	2000-1-1	6	12	2000-1-1	1675	272.0	326.4	0	5	544.0	
16	3	1	Sample Product	2000-1-1	18	24	2000-1-1	1086	1849.0	2218.7999999999997	0	1	3698.0	
16	1	1	Sample Product	2000-1-1	17	23	2000-1-1	155	2590.0	3108.0	0	4	5180.0	
16	1	0	Sample Product	2000-1-1	14	20	2000-1-1	1420	4476.0	5371.2	1	3	8952.0	
16	2	0	Sample Product	2000-1-1	12	18	2000-1-1	1001	1640.0	1968.0	1	4	3280.0	
17	1	0	Sample Product	2000-1-1	14	20	2000-1-1	982	1768.0	2121.6	1	5	3536.0	
17	1	0	Sample Product	2000-1-1	0	6	2000-1-1	1600	1006.0	1207.2	1	5	2012.0	
17	3	1	Sample Product	2000-1-1	3	9	2000-1-1	247	4415.0	5298.0	0	1	8830.0	
17	2	0	Sample Product	2000-1-1	2	8	2000-1-1	1849	1318.0	1581.6	1	6	2636.0	
 
 
18	2	0	Sample Product	2000-1-1	6	12	2000-1-1	1671	3218.0	3861.6	0	3	6436.0	
18	0	2	Sample Product	2000-1-1	5	11	2000-1-1	223	1733.0	2079.6	0	8	3466.0	
19	1	0	Sample Product	2000-1-1	7	13	2000-1-1	44	4462.0	5354.4	0	10	8924.0	
19	1	3	Sample Product	2000-1-1	13	19	2000-1-1	1272	3884.0	4660.8	1	5	7768.0	
19	2	2	Sample Product	2000-1-1	1	7	2000-1-1	1061	4749.0	5698.8	0	0	9498.0	
19	1	0	Sample Product	2000-1-1	11	17	2000-1-1	723	577.0	692.4	1	5	1154.0	
20	1	1	Sample Product	2000-1-1	2	8	2000-1-1	330	1089.0	1306.8	1	2	2178.0	
20	3	2	Sample Product	2000-1-1	7	13	2000-1-1	1577	3411.0	4093.2	0	5	6822.0	
20	3	1	Sample Product	2000-1-1	13	19	2000-1-1	917	1407.0	1688.3999999999999	0	6	2814.0	
20	1	2	Sample Product	2000-1-1	7	13	2000-1-1	1148	3468.0	4161.599999999999	1	4	6936.0	
21	1	2	Sample Product	2000-1-1	4	10	2000-1-1	389	2865.0	3438.0	0	10	5730.0	
 
21	2	2	Sample Product	2000-1-1	16	22	2000-1-1	1411	2656.0	3187.2	1	3	5312.0	
21	0	2	Sample Product	2000-1-1	10	16	2000-1-1	100	2196.0	2635.2	1	4	4392.0	
22	2	2	Sample Product	2000-1-1	18	24	2000-1-1	485	2402.0	2882.4	1	2	4804.0	
22	4	0	Sample Product	2000-1-1	13	19	2000-1-1	1969	745.0	894.0	0	5	1490.0	
22	1	3	Sample Product	2000-1-1	1	7	2000-1-1	194	169.0	202.79999999999998	1	10	338.0	
22	0	1	Sample Product	2000-1-1	8	14	2000-1-1	1797	2530.0	3036.0	1	9	5060.0	
23	3	2	Sample Product	2000-1-1	6	12	2000-1-1	1759	3041.0	3649.2	0	2	6082.0	
23	0	0	Sample Product	2000-1-1	8	14	2000-1-1	1506	4862.0	5834.4	1	6	9724.0	
23	3	3	Sample Product	2000-1-1	7	13	2000-1-1	1043	385.0	462.0	0	1	770.0	
23	3	2	Sample Product	2000-1-1	7	13	2000-1-1	1325	1719.0	2062.7999999999997	0	3	3438.0	
24	4	1	Sample Product	2000-1-1	9	15	2000-1-1	751	2834.0	3400.7999999999997	1	6	5668.0	
24	2	0	Sample Product	2000-1-1	10	16	2000-1-1	1221	4883.0	5859.599999999999	1	6	9766.0	
24	2	2	Sample Product	2000-1-1	12	18	2000-1-1	646	3883.0	4659.599999999999	1	8	7766.0	
24	1	2	Sample Product	2000-1-1	10	16	2000-1-1	514	3769.0	4522.8	1	9	7538.0	
25	0	3	Sample Product	2000-1-1	16	22	2000-1-1	732	4393.0	5271.599999999999	1	3	8786.0	
25	2	2	Sample Product	2000-1-1	6	12	2000-1-1	1648	2286.0	2743.2	0	4	4572.0	
25	2	2	Sample Product	2000-1-1	17	23	2000-1-1	1353	2668.0	3201.6	1	9	5336.0	
25	0	2	Sample Product	2000-1-1	13	19	2000-1-1	1972	3060.0	3672.0	0	2	6120.0	
26	2	3	Sample Product	2000-1-1	9	15	2000-1-1	274	8.0	9.6	1	7	16.0	
26	3	2	Sample Product	2000-1-1	20	26	2000-1-1	857	1329.0	1594.8	1	5	2658.0	
26	3	2	Sample Product	2000-1-1	15	21	2000-1-1	736	2827.0	3392.4	0	5	5654.0	
 
27	1	3	Sample Product	2000-1-1	10	16	2000-1-1	989	4719.0	5662.8	1	2	9438.0	
27	1	0	Sample Product	2000-1-1	16	22	2000-1-1	1865	2741.0	3289.2	0	4	5482.0	
27	0	0	Sample Product	2000-1-1	17	23	2000-1-1	724	3789.0	4546.8	1	8	7578.0	
27	1	2	Sample Product	2000-1-1	3	9	2000-1-1	309	3905.0	4686.0	0	5	7810.0	
28	1	1	Sample Product	2000-1-1	7	13	2000-1-1	426	2619.0	3142.7999999999997	1	3	5238.0	
28	2	3	Sample Product	2000-1-1	13	19	2000-1-1	428	1350.0	1620.0	1	7	2700.0	
28	1	1	Sample Product	2000-1-1	14	20	2000-1-1	739	3990.0	4788.0	1	1	7980.0	
28	3	0	Sample Product	2000-1-1	9	15	2000-1-1	869	764.0	916.8	0	1	1528.0	
 
29	0	1	Sample Product	2000-1-1	16	22	2000-1-1	1571	1268.0	1521.6	0	2	2536.0	
29	3	2	Sample Product	2000-1-1	9	15	2000-1-1	95	3938.0	4725.599999999999	1	3	7876.0	
29	1	1	Sample Product	2000-1-1	1	7	2000-1-1	243	285.0	342.0	1	8	570.0	
30	1	2	Sample Product	2000-1-1	14	20	2000-1-1	1579	4257.0	5108.4	0	0	8514.0	
30	1	3	Sample Product	2000-1-1	16	22	2000-1-1	1492	1134.0	1360.8	0	5	2268.0	
30	1	3	Sample Product	2000-1-1	7	13	2000-1-1	904	3678.0	4413.599999999999	1	4	7356.0	
 
31	2	2	Sample Product	2000-1-1	1	7	2000-1-1	888	1587.0	1904.3999999999999	1	7	3174.0	
31	3	3	Sample Product	2000-1-1	0	6	2000-1-1	991	861.0	1033.2	0	4	1722.0	
31	1	2	Sample Product	2000-1-1	6	12	2000-1-1	277	2233.0	2679.6	0	4	4466.0	
31	2	3	Sample Product	2000-1-1	16	22	2000-1-1	130	3836.0	4603.2	0	2	7672.0	
 
32	3	3	Sample Product	2000-1-1	20	26	2000-1-1	1351	4102.0	4922.4	1	0	8204.0	
 
 
33	3	1	Sample Product	2000-1-1	17	23	2000-1-1	349	427.0	512.4	1	2	854.0	
33	1	2	Sample Product	2000-1-1	17	23	2000-1-1	984	3644.0	4372.8	0	10	7288.0	
33	2	1	Sample Product	2000-1-1	9	15	2000-1-1	156	3205.0	3846.0	0	5	6410.0	
 
34	4	3	Sample Product	2000-1-1	2	8	2000-1-1	1667	4244.0	5092.8	0	8	8488.0	
34	3	2	Sample Product	2000-1-1	13	19	2000-1-1	1832	629.0	754.8	1	4	1258.0	
34	2	1	Sample Product	2000-1-1	3	9	2000-1-1	1364	1171.0	1405.2	0	2	2342.0	
34	3	1	Sample Product	2000-1-1	7	13	2000-1-1	978	4291.0	5149.2	0	3	8582.0	
35	3	1	Sample Product	2000-1-1	8	14	2000-1-1	236	2938.0	3525.6	0	0	5876.0	
35	0	1	Sample Product	2000-1-1	18	24	2000-1-1	1065	4646.0	5575.2	1	2	9292.0	
35	1	2	Sample Product	2000-1-1	9	15	2000-1-1	1464	2615.0	3138.0	0	5	5230.0	
35	3	1	Sample Product	2000-1-1	4	10	2000-1-1	417	1438.0	1725.6	0	1	2876.0	
36	0	3	Sample Product	2000-1-1	15	21	2000-1-1	1200	3500.0	4200.0	0	4	7000.0	
36	2	2	Sample Product	2000-1-1	0	6	2000-1-1	99	837.0	1004.4	1	4	1674.0	
 
36	1	2	Sample Product	2000-1-1	12	18	2000-1-1	977	758.0	909.6	0	7	1516.0	
 
37	3	1	Sample Product	2000-1-1	6	12	2000-1-1	599	4660.0	5592.0	1	3	9320.0	
37	3	3	Sample Product	2000-1-1	2	8	2000-1-1	689	2801.0	3361.2	1	7	5602.0	
37	1	0	Sample Product	2000-1-1	11	17	2000-1-1	833	370.0	444.0	1	5	740.0	
38	3	3	Sample Product	2000-1-1	11	17	2000-1-1	1562	1915.0	2298.0	0	4	3830.0	
 
38	1	1	Sample Product	2000-1-1	8	14	2000-1-1	449	3582.0	4298.4	1	6	7164.0	
38	0	2	Sample Product	2000-1-1	5	11	2000-1-1	1780	4104.0	4924.8	1	3	8208.0	
 
39	0	2	Sample Product	2000-1-1	7	13	2000-1-1	608	1272.0	1526.3999999999999	1	8	2544.0	
39	2	3	Sample Product	2000-1-1	5	11	2000-1-1	991	4763.0	5715.599999999999	1	8	9526.0	
39	1	1	Sample Product	2000-1-1	18	24	2000-1-1	387	1926.0	2311.2	0	10	3852.0	
40	1	2	Sample Product	2000-1-1	16	22	2000-1-1	280	4449.0	5338.8	1	1	8898.0	
 
40	2	2	Sample Product	2000-1-1	7	13	2000-1-1	1399	2665.0	3198.0	1	7	5330.0	
40	2	2	Sample Product	2000-1-1	11	17	2000-1-1	1239	4795.0	5754.0	1	1	9590.0	
41	2	2	Sample Product	2000-1-1	0	6	2000-1-1	72	2700.0	3240.0	0	6	5400.0	
 
 
 
42	2	0	Sample Product	2000-1-1	3	9	2000-1-1	363	1936.0	2323.2	0	4	3872.0	
42	0	2	Sample Product	2000-1-1	15	21	2000-1-1	1430	4066.0	4879.2	1	5	8132.0	
 
42	2	3	Sample Product	2000-1-1	11	17	2000-1-1	255	609.0	730.8	0	4	1218.0	
43	3	2	Sample Product	2000-1-1	12	18	2000-1-1	146	1438.0	1725.6	1	8	2876.0	
43	0	1	Sample Product	2000-1-1	18	24	2000-1-1	205	4193.0	5031.599999999999	1	6	8386.0	
43	3	2	Sample Product	2000-1-1	13	19	2000-1-1	1604	2078.0	2493.6	0	9	4156.0	
43	3	1	Sample Product	2000-1-1	10	16	2000-1-1	42	2086.0	2503.2	0	6	4172.0	
44	2	1	Sample Product	2000-1-1	15	21	2000-1-1	459	2927.0	3512.4	1	9	5854.0	
 
44	3	0	Sample Product	2000-1-1	14	20	2000-1-1	1504	2817.0	3380.4	1	5	5634.0	
44	1	1	Sample Product	2000-1-1	11	17	2000-1-1	407	4541.0	5449.2	1	5	9082.0	
 
45	2	3	Sample Product	2000-1-1	3	9	2000-1-1	1585	3586.0	4303.2	0	4	7172.0	
45	1	2	Sample Product	2000-1-1	9	15	2000-1-1	556	4178.0	5013.599999999999	0	2	8356.0	
45	1	2	Sample Product	2000-1-1	1	7	2000-1-1	1002	425.0	510.0	1	1	850.0	
46	1	3	Sample Product	2000-1-1	12	18	2000-1-1	1140	974.0	1168.8	0	3	1948.0	
46	0	3	Sample Product	2000-1-1	8	14	2000-1-1	232	4749.0	5698.8	0	9	9498.0	
 
46	3	2	Sample Product	2000-1-1	13	19	2000-1-1	1290	4736.0	5683.2	1	8	9472.0	
47	3	2	Sample Product	2000-1-1	15	21	2000-1-1	694	1382.0	1658.3999999999999	0	9	2764.0	
47	3	2	Sample Product	2000-1-1	11	17	2000-1-1	731	4849.0	5818.8	0	9	9698.0	
47	4	3	Sample Product	2000-1-1	9	15	2000-1-1	373	4623.0	5547.599999999999	0	9	9246.0	
47	2	2	Sample Product	2000-1-1	1	7	2000-1-1	729	670.0	804.0	0	9	1340.0	
48	3	0	Sample Product	2000-1-1	15	21	2000-1-1	1087	185.0	222.0	1	6	370.0	
48	1	0	Sample Product	2000-1-1	5	11	2000-1-1	1876	674.0	808.8	1	5	1348.0	
 
48	2	3	Sample Product	2000-1-1	14	20	2000-1-1	1887	2489.0	2986.7999999999997	1	5	4978.0	
49	0	0	Sample Product	2000-1-1	14	20	2000-1-1	431	4383.0	5259.599999999999	0	6	8766.0	
 
49	4	3	Sample Product	2000-1-1	17	23	2000-1-1	32	3982.0	4778.4	1	5	7964.0	
49	2	0	Sample Product	2000-1-1	12	18	2000-1-1	667	449.0	538.8	0	9	898.0	
50	4	0	Sample Product	2000-1-1	19	25	2000-1-1	962	653.0	783.6	0	6	1306.0	
50	1	2	Sample Product	2000-1-1	14	20	2000-1-1	491	4387.0	5264.4	0	2	8774.0	
50	2	0	Sample Product	2000-1-1	15	21	2000-1-1	997	4489.0	5386.8	0	9	8978.0	
50	2	2	Sample Product	2000-1-1	7	13	2000-1-1	300	4905.0	5886.0	0	9	9810.0	
51	2	1	Sample Product	2000-1-1	17	23	2000-1-1	1407	4701.0	5641.2	0	6	9402.0	
51	0	0	Sample Product	2000-1-1	12	18	2000-1-1	1847	2479.0	2974.7999999999997	0	6	4958.0	
51	2	3	Sample Product	2000-1-1	12	18	2000-1-1	1102	1274.0	1528.8	1	6	2548.0	
51	4	0	Sample Product	2000-1-1	6	12	2000-1-1	1101	542.0	650.4	1	8	1084.0	
 
 
52	3	2	Sample Product	2000-1-1	4	10	2000-1-1	178	4744.0	5692.8	0	6	9488.0	
52	2	3	Sample Product	2000-1-1	3	9	2000-1-1	566	3065.0	3678.0	1	3	6130.0	
53	1	0	Sample Product	2000-1-1	15	21	2000-1-1	953	4876.0	5851.2	1	3	9752.0	
53	4	1	Sample Product	2000-1-1	16	22	2000-1-1	1672	2832.0	3398.4	0	4	5664.0	
53	1	0	Sample Product	2000-1-1	19	25	2000-1-1	503	587.0	704.4	0	10	1174.0	
 
54	2	1	Sample Product	2000-1-1	16	22	2000-1-1	1770	3976.0	4771.2	0	6	7952.0	
54	2	2	Sample Product	2000-1-1	4	10	2000-1-1	1152	4747.0	5696.4	1	7	9494.0	
54	2	2	Sample Product	2000-1-1	16	22	2000-1-1	682	2072.0	2486.4	1	2	4144.0	
 
55	3	2	Sample Product	2000-1-1	14	20	2000-1-1	902	3683.0	4419.599999999999	1	0	7366.0	
 
55	2	0	Sample Product	2000-1-1	10	16	2000-1-1	665	239.0	286.8	1	10	478.0	
55	1	2	Sample Product	2000-1-1	19	25	2000-1-1	1644	4500.0	5400.0	1	6	9000.0	
56	4	1	Sample Product	2000-1-1	15	21	2000-1-1	936	3909.0	4690.8	1	10	7818.0	
 
56	3	1	Sample Product	2000-1-1	14	20	2000-1-1	1090	2803.0	3363.6	1	8	5606.0	
56	2	2	Sample Product	2000-1-1	15	21	2000-1-1	1378	910.0	1092.0	0	5	1820.0	
57	3	1	Sample Product	2000-1-1	2	8	2000-1-1	937	4128.0	4953.599999999999	0	7	8256.0	
57	2	2	Sample Product	2000-1-1	12	18	2000-1-1	433	4049.0	4858.8	0	5	8098.0	
 
 
58	3	3	Sample Product	2000-1-1	3	9	2000-1-1	1063	3740.0	4488.0	1	1	7480.0	
58	1	1	Sample Product	2000-1-1	20	26	2000-1-1	857	3628.0	4353.599999999999	1	10	7256.0	
58	2	0	Sample Product	2000-1-1	10	16	2000-1-1	1382	1371.0	1645.2	0	3	2742.0	
58	4	3	Sample Product	2000-1-1	5	11	2000-1-1	1851	2714.0	3256.7999999999997	0	1	5428.0	
59	1	2	Sample Product	2000-1-1	6	12	2000-1-1	1089	3525.0	4230.0	0	1	7050.0	
 
59	3	0	Sample Product	2000-1-1	13	19	2000-1-1	141	946.0	1135.2	0	4	1892.0	
59	4	2	Sample Product	2000-1-1	3	9	2000-1-1	1176	4878.0	5853.599999999999	1	5	9756.0	
 
 
60	2	0	Sample Product	2000-1-1	16	22	2000-1-1	614	1218.0	1461.6	1	1	2436.0	
60	0	0	Sample Product	2000-1-1	4	10	2000-1-1	1556	4657.0	5588.4	0	7	9314.0	
 
61	1	1	Sample Product	2000-1-1	17	23	2000-1-1	1848	667.0	800.4	1	7	1334.0	
61	1	1	Sample Product	2000-1-1	17	23	2000-1-1	887	60.0	72.0	0	9	120.0	
 
62	2	0	Sample Product	2000-1-1	17	23	2000-1-1	1842	3882.0	4658.4	1	9	7764.0	
62	1	2	Sample Product	2000-1-1	17	23	2000-1-1	1170	4909.0	5890.8	0	1	9818.0	
62	2	3	Sample Product	2000-1-1	2	8	2000-1-1	1319	3660.0	4392.0	0	3	7320.0	
 
63	4	1	Sample Product	2000-1-1	7	13	2000-1-1	269	4016.0	4819.2	0	0	8032.0	
 
63	2	3	Sample Product	2000-1-1	12	18	2000-1-1	1427	4379.0	5254.8	0	3	8758.0	
 
64	0	1	Sample Product	2000-1-1	8	14	2000-1-1	1343	1708.0	2049.6	1	8	3416.0	
64	3	2	Sample Product	2000-1-1	13	19	2000-1-1	151	4298.0	5157.599999999999	0	7	8596.0	
 
64	2	2	Sample Product	2000-1-1	6	12	2000-1-1	333	4757.0	5708.4	0	2	9514.0	
65	2	2	Sample Product	2000-1-1	2	8	2000-1-1	558	357.0	428.4	0	5	714.0	
65	2	1	Sample Product	2000-1-1	7	13	2000-1-1	251	4594.0	5512.8	1	4	9188.0	
65	3	2	Sample Product	2000-1-1	5	11	2000-1-1	1859	3195.0	3834.0	1	4	6390.0	
65	1	3	Sample Product	2000-1-1	0	6	2000-1-1	182	1428.0	1713.6	0	2	2856.0	
66	0	1	Sample Product	2000-1-1	13	19	2000-1-1	1803	1282.0	1538.3999999999999	1	9	2564.0	
 
66	3	1	Sample Product	2000-1-1	3	9	2000-1-1	1499	2944.0	3532.7999999999997	1	5	5888.0	
66	0	2	Sample Product	2000-1-1	19	25	2000-1-1	123	4139.0	4966.8	0	3	8278.0	
67	0	0	Sample Product	2000-1-1	11	17	2000-1-1	481	1285.0	1542.0	0	2	2570.0	
 
67	1	1	Sample Product	2000-1-1	11	17	2000-1-1	601	3560.0	4272.0	0	10	7120.0	
 
68	3	0	Sample Product	2000-1-1	1	7	2000-1-1	1532	3674.0	4408.8	1	5	7348.0	
 
 
68	3	0	Sample Product	2000-1-1	11	17	2000-1-1	1043	3298.0	3957.6	1	8	6596.0	
69	2	1	Sample Product	2000-1-1	18	24	2000-1-1	1502	817.0	980.4	1	3	1634.0	
69	1	1	Sample Product	2000-1-1	19	25	2000-1-1	1813	1795.0	2154.0	1	6	3590.0	
69	2	0	Sample Product	2000-1-1	15	21	2000-1-1	1380	343.0	411.59999999999997	0	7	686.0	
69	2	1	Sample Product	2000-1-1	2	8	2000-1-1	841	3634.0	4360.8	0	0	7268.0	
 
70	0	1	Sample Product	2000-1-1	12	18	2000-1-1	1599	3252.0	3902.3999999999996	0	5	6504.0	
 
70	3	3	Sample Product	2000-1-1	12	18	2000-1-1	1780	690.0	828.0	0	2	1380.0	
 
71	2	1	Sample Product	2000-1-1	12	18	2000-1-1	892	3538.0	4245.599999999999	0	4	7076.0	
71	2	1	Sample Product	2000-1-1	7	13	2000-1-1	1309	134.0	160.79999999999998	1	6	268.0	
71	2	3	Sample Product	2000-1-1	18	24	2000-1-1	1832	4171.0	5005.2	1	6	8342.0	
72	3	1	Sample Product	2000-1-1	20	26	2000-1-1	926	997.0	1196.3999999999999	0	7	1994.0	
72	3	2	Sample Product	2000-1-1	14	20	2000-1-1	1136	211.0	253.2	0	0	422.0	
72	4	1	Sample Product	2000-1-1	6	12	2000-1-1	815	3113.0	3735.6	0	5	6226.0	
72	1	2	Sample Product	2000-1-1	13	19	2000-1-1	68	3854.0	4624.8	0	9	7708.0	
73	2	2	Sample Product	2000-1-1	11	17	2000-1-1	406	2672.0	3206.4	0	2	5344.0	
73	3	1	Sample Product	2000-1-1	10	16	2000-1-1	144	4265.0	5118.0	1	7	8530.0	
73	1	1	Sample Product	2000-1-1	13	19	2000-1-1	1042	4138.0	4965.599999999999	0	2	8276.0	
73	1	1	Sample Product	2000-1-1	9	15	2000-1-1	519	2676.0	3211.2	1	2	5352.0	
74	2	2	Sample Product	2000-1-1	0	6	2000-1-1	846	210.0	252.0	1	8	420.0	
74	3	1	Sample Product	2000-1-1	5	11	2000-1-1	1635	1430.0	1716.0	0	6	2860.0	
74	1	2	Sample Product	2000-1-1	2	8	2000-1-1	1900	2948.0	3537.6	1	5	5896.0	
74	1	1	Sample Product	2000-1-1	11	17	2000-1-1	886	2284.0	2740.7999999999997	1	4	4568.0	
75	3	0	Sample Product	2000-1-1	12	18	2000-1-1	1904	466.0	559.1999999999999	1	5	932.0	
75	0	1	Sample Product	2000-1-1	15	21	2000-1-1	1012	1268.0	1521.6	0	3	2536.0	
 
 
 
76	4	2	Sample Product	2000-1-1	1	7	2000-1-1	229	2551.0	3061.2	0	5	5102.0	
76	4	2	Sample Product	2000-1-1	11	17	2000-1-1	348	4460.0	5352.0	0	3	8920.0	
 
77	3	1	Sample Product	2000-1-1	19	25	2000-1-1	74	1727.0	2072.4	0	7	3454.0	
77	3	0	Sample Product	2000-1-1	9	15	2000-1-1	756	1737.0	2084.4	1	8	3474.0	
77	1	3	Sample Product	2000-1-1	3	9	2000-1-1	1691	2779.0	3334.7999999999997	0	3	5558.0	
77	0	1	Sample Product	2000-1-1	12	18	2000-1-1	1236	721.0	865.1999999999999	0	3	1442.0	
 
78	3	0	Sample Product	2000-1-1	7	13	2000-1-1	651	689.0	826.8	0	9	1378.0	
78	3	2	Sample Product	2000-1-1	0	6	2000-1-1	1684	2752.0	3302.4	0	6	5504.0	
78	1	1	Sample Product	2000-1-1	19	25	2000-1-1	122	3783.0	4539.599999999999	0	10	7566.0	
79	4	2	Sample Product	2000-1-1	7	13	2000-1-1	829	2876.0	3451.2	1	8	5752.0	
79	1	2	Sample Product	2000-1-1	16	22	2000-1-1	372	3930.0	4716.0	0	10	7860.0	
 
79	0	2	Sample Product	2000-1-1	4	10	2000-1-1	1689	4771.0	5725.2	0	4	9542.0	
80	2	2	Sample Product	2000-1-1	15	21	2000-1-1	1462	3562.0	4274.4	0	8	7124.0	
80	2	2	Sample Product	2000-1-1	5	11	2000-1-1	1207	1397.0	1676.3999999999999	1	10	2794.0	
80	1	1	Sample Product	2000-1-1	4	10	2000-1-1	1595	3944.0	4732.8	0	6	7888.0	
