PRODUCT_UID	PRODUCT_SERIES	PRODUCT_CATEGORY	INSURANCE_PLAN	NAME	ACTIVATION_DATE	ITERATION	INSURANCE_YEARS	INSURANCE_DETAILS	PRODUICT_SOLD	PRICE	ACTIVATED	REPAIRS
94	23	3	1	Sample Product	1901-02-01	3	2	Sample Insurance	1413	140.0	false	8
95	23	1	1	Sample Product	1901-02-01	20	14	Sample Insurance	312	42.0	false	6
96	24	4	1	Sample Product	1901-02-01	8	16	Sample Insurance	418	4237.0	false	6
97	24	1	1	Sample Product	1901-02-01	2	14	Sample Insurance	205	211.0	false	9
98	24	0	3	Sample Product	1901-02-01	20	16	Sample Insurance	1252	2417.0	false	8
99	24	0	3	Sample Product	1901-02-01	20	9	Sample Insurance	1703	2547.0	true	2
100	25	3	1	Sample Product	1901-02-01	11	15	Sample Insurance	1619	3337.0	true	4
101	25	3	3	Sample Product	1901-02-01	6	9	Sample Insurance	210	2975.0	true	10
102	25	1	1	Sample Product	1901-02-01	5	15	Sample Insurance	1468	3402.0	false	6
103	25	0	2	Sample Product	1901-02-01	3	17	Sample Insurance	1210	2065.0	false	6
104	26	2	1	Sample Product	1901-02-01	10	5	Sample Insurance	1024	2909.0	false	7
105	26	2	2	Sample Product	1901-02-01	16	3	Sample Insurance	1149	3682.0	true	6
106	26	4	1	Sample Product	1901-02-01	7	14	Sample Insurance	772	2828.0	false	0
107	26	0	3	Sample Product	1901-02-01	11	11	Sample Insurance	767	535.0	false	2
108	27	3	2	Sample Product	1901-02-01	14	10	Sample Insurance	381	4736.0	false	6
109	27	2	2	Sample Product	1901-02-01	6	15	Sample Insurance	1868	4110.0	false	2
110	27	2	3	Sample Product	1901-02-01	16	1	Sample Insurance	1582	1390.0	false	6
111	27	1	1	Sample Product	1901-02-01	10	4	Sample Insurance	544	1515.0	false	5
112	28	1	1	Sample Product	1901-02-01	18	5	Sample Insurance	1980	450.0	false	1
113	28	4	2	Sample Product	1901-02-01	3	6	Sample Insurance	1840	1701.0	true	8
114	28	3	1	Sample Product	1901-02-01	18	5	Sample Insurance	817	3840.0	true	5
115	28	0	3	Sample Product	1901-02-01	16	11	Sample Insurance	859	3588.0	false	4
116	29	2	2	Sample Product	1901-02-01	11	14	Sample Insurance	1685	256.0	false	10
117	29	1	1	Sample Product	1901-02-01	9	3	Sample Insurance	1325	3589.0	false	9
118	29	3	1	Sample Product	1901-02-01	8	1	Sample Insurance	1173	3325.0	false	0
119	29	3	0	Sample Product	1901-02-01	4	2	Sample Insurance	578	14.0	true	9
120	30	2	2	Sample Product	1901-02-01	3	9	Sample Insurance	470	2894.0	true	7
121	30	3	0	Sample Product	1901-02-01	19	17	Sample Insurance	27	1883.0	false	8
122	30	3	3	Sample Product	1901-02-01	19	12	Sample Insurance	907	1980.0	true	7
123	30	1	0	Sample Product	1901-02-01	20	17	Sample Insurance	33	4630.0	true	8
124	31	2	2	Sample Product	1901-02-01	3	6	Sample Insurance	449	1854.0	false	2
125	31	0	1	Sample Product	1901-02-01	11	0	Sample Insurance	254	193.0	true	6
126	31	3	0	Sample Product	1901-02-01	2	0	Sample Insurance	125	2769.0	false	0
127	31	1	2	Sample Product	1901-02-01	2	9	Sample Insurance	423	4011.0	false	0
128	32	1	2	Sample Product	1901-02-01	16	3	Sample Insurance	1411	2843.0	false	9
129	32	3	3	Sample Product	1901-02-01	13	6	Sample Insurance	575	1405.0	true	5
130	32	1	2	Sample Product	1901-02-01	6	19	Sample Insurance	1558	2574.0	false	6
131	32	1	1	Sample Product	1901-02-01	2	7	Sample Insurance	1724	865.0	false	5
132	33	3	0	Sample Product	1901-02-01	13	11	Sample Insurance	1854	2504.0	true	4
133	33	2	0	Sample Product	1901-02-01	4	2	Sample Insurance	1977	1715.0	true	4
134	33	2	0	Sample Product	1901-02-01	10	15	Sample Insurance	1851	1534.0	false	9
135	33	2	0	Sample Product	1901-02-01	15	9	Sample Insurance	1100	3692.0	true	1
136	34	2	3	Sample Product	1901-02-01	12	6	Sample Insurance	516	3374.0	false	9
137	34	1	3	Sample Product	1901-02-01	9	19	Sample Insurance	525	903.0	false	2
138	34	1	2	Sample Product	1901-02-01	8	11	Sample Insurance	1344	3643.0	true	1
139	34	1	1	Sample Product	1901-02-01	15	14	Sample Insurance	1808	2686.0	false	4
140	35	2	0	Sample Product	1901-02-01	4	5	Sample Insurance	408	109.0	false	0
141	35	2	1	Sample Product	1901-02-01	14	12	Sample Insurance	521	3862.0	true	9
142	35	0	2	Sample Product	1901-02-01	17	18	Sample Insurance	355	3582.0	false	6
143	35	0	0	Sample Product	1901-02-01	10	9	Sample Insurance	606	1885.0	true	6
144	36	3	1	Sample Product	1901-02-01	3	5	Sample Insurance	1350	1942.0	false	1
145	36	4	0	Sample Product	1901-02-01	6	5	Sample Insurance	158	3380.0	true	0
146	36	2	1	Sample Product	1901-02-01	6	4	Sample Insurance	1963	4818.0	true	0
147	36	0	1	Sample Product	1901-02-01	8	10	Sample Insurance	1665	2582.0	true	10
148	37	1	1	Sample Product	1901-02-01	2	17	Sample Insurance	1003	1406.0	false	5
149	37	0	0	Sample Product	1901-02-01	1	13	Sample Insurance	1685	4164.0	false	8
150	37	0	0	Sample Product	1901-02-01	19	3	Sample Insurance	1294	3938.0	false	10
151	37	2	1	Sample Product	1901-02-01	7	12	Sample Insurance	973	2967.0	true	4
152	38	2	0	Sample Product	1901-02-01	9	12	Sample Insurance	401	4291.0	false	2
153	38	1	1	Sample Product	1901-02-01	16	3	Sample Insurance	57	3118.0	true	9
154	38	4	3	Sample Product	1901-02-01	13	8	Sample Insurance	1299	1243.0	false	3
155	38	2	0	Sample Product	1901-02-01	5	11	Sample Insurance	1246	4043.0	false	2
156	39	2	2	Sample Product	1901-02-01	18	20	Sample Insurance	1985	869.0	false	9
157	39	3	1	Sample Product	1901-02-01	2	7	Sample Insurance	100	876.0	false	6
158	39	2	2	Sample Product	1901-02-01	8	13	Sample Insurance	1041	2590.0	false	8
159	39	2	2	Sample Product	1901-02-01	3	18	Sample Insurance	1333	1768.0	false	2
160	40	1	3	Sample Product	1901-02-01	11	13	Sample Insurance	137	3355.0	true	8
161	40	3	1	Sample Product	1901-02-01	9	7	Sample Insurance	167	4577.0	false	6
162	40	2	1	Sample Product	1901-02-01	17	14	Sample Insurance	479	2480.0	false	8
163	40	1	0	Sample Product	1901-02-01	5	8	Sample Insurance	129	466.0	true	0
164	41	2	1	Sample Product	1901-02-01	3	12	Sample Insurance	211	4622.0	true	3
165	41	4	1	Sample Product	1901-02-01	10	5	Sample Insurance	294	1891.0	true	9
166	41	2	1	Sample Product	1901-02-01	6	3	Sample Insurance	1748	3401.0	false	5
167	41	0	2	Sample Product	1901-02-01	11	11	Sample Insurance	978	2478.0	false	7
168	42	2	1	Sample Product	1901-02-01	14	16	Sample Insurance	70	3169.0	true	3
169	42	3	0	Sample Product	1901-02-01	12	12	Sample Insurance	863	1304.0	false	1
170	42	2	1	Sample Product	1901-02-01	18	19	Sample Insurance	945	1417.0	true	4
171	42	4	3	Sample Product	1901-02-01	5	6	Sample Insurance	585	4064.0	true	5
172	43	4	1	Sample Product	1901-02-01	17	4	Sample Insurance	114	4336.0	false	5
173	43	1	1	Sample Product	1901-02-01	14	10	Sample Insurance	1754	3639.0	false	5
174	43	4	0	Sample Product	1901-02-01	14	9	Sample Insurance	408	3012.0	false	9
175	43	4	3	Sample Product	1901-02-01	1	4	Sample Insurance	423	2556.0	true	1
176	44	2	1	Sample Product	1901-02-01	8	13	Sample Insurance	1818	2771.0	true	3
177	44	3	2	Sample Product	1901-02-01	8	16	Sample Insurance	8	4840.0	true	5
178	44	1	1	Sample Product	1901-02-01	13	11	Sample Insurance	1506	3175.0	false	3
179	44	3	2	Sample Product	1901-02-01	19	12	Sample Insurance	641	4766.0	true	4
180	45	1	3	Sample Product	1901-02-01	1	6	Sample Insurance	764	1145.0	false	1
181	45	4	1	Sample Product	1901-02-01	2	6	Sample Insurance	1984	4998.0	true	7
182	45	4	2	Sample Product	1901-02-01	5	8	Sample Insurance	1917	4747.0	true	1
183	45	3	1	Sample Product	1901-02-01	1	6	Sample Insurance	472	1633.0	true	10
184	46	3	2	Sample Product	1901-02-01	8	5	Sample Insurance	171	114.0	false	1
185	46	4	2	Sample Product	1901-02-01	17	12	Sample Insurance	16	3628.0	true	9
186	46	2	3	Sample Product	1901-02-01	14	17	Sample Insurance	1410	4010.0	true	0
187	46	2	1	Sample Product	1901-02-01	19	4	Sample Insurance	1141	4131.0	false	1
188	47	0	2	Sample Product	1901-02-01	3	10	Sample Insurance	932	4544.0	true	1
189	47	2	2	Sample Product	1901-02-01	19	19	Sample Insurance	1574	1200.0	false	7
190	47	1	2	Sample Product	1901-02-01	8	11	Sample Insurance	135	2525.0	false	1
191	47	2	1	Sample Product	1901-02-01	18	8	Sample Insurance	1275	419.0	true	1
192	48	0	0	Sample Product	1901-02-01	14	14	Sample Insurance	147	966.0	false	7
193	48	1	1	Sample Product	1901-02-01	0	9	Sample Insurance	918	1914.0	true	2
194	48	3	2	Sample Product	1901-02-01	8	5	Sample Insurance	1400	226.0	false	6
195	48	1	2	Sample Product	1901-02-01	16	10	Sample Insurance	809	4249.0	false	9
196	49	0	0	Sample Product	1901-02-01	17	19	Sample Insurance	152	1301.0	false	7
197	49	2	2	Sample Product	1901-02-01	8	7	Sample Insurance	1259	2733.0	false	9
198	49	2	3	Sample Product	1901-02-01	9	2	Sample Insurance	955	4759.0	true	8
199	49	2	2	Sample Product	1901-02-01	16	4	Sample Insurance	1395	4611.0	false	2
200	50	3	2	Sample Product	1901-02-01	16	0	Sample Insurance	59	2819.0	false	3
201	50	3	2	Sample Product	1901-02-01	15	18	Sample Insurance	1418	3656.0	true	7
202	50	2	1	Sample Product	1901-02-01	19	12	Sample Insurance	778	2074.0	true	6
203	50	1	1	Sample Product	1901-02-01	19	0	Sample Insurance	1311	1648.0	false	6
204	51	1	3	Sample Product	1901-02-01	6	10	Sample Insurance	1783	4360.0	false	10
205	51	2	0	Sample Product	1901-02-01	14	2	Sample Insurance	983	4253.0	false	8
206	51	1	3	Sample Product	1901-02-01	11	7	Sample Insurance	1356	3266.0	false	6
207	51	3	1	Sample Product	1901-02-01	1	5	Sample Insurance	868	3797.0	false	6
208	52	2	0	Sample Product	1901-02-01	7	14	Sample Insurance	579	3795.0	true	4
209	52	4	1	Sample Product	1901-02-01	1	0	Sample Insurance	1964	1434.0	false	0
210	52	4	2	Sample Product	1901-02-01	10	10	Sample Insurance	470	2664.0	false	4
211	52	1	1	Sample Product	1901-02-01	18	8	Sample Insurance	319	1203.0	false	7
212	53	3	2	Sample Product	1901-02-01	16	1	Sample Insurance	72	1748.0	false	8
213	53	3	2	Sample Product	1901-02-01	1	20	Sample Insurance	958	3486.0	false	10
214	53	0	1	Sample Product	1901-02-01	15	1	Sample Insurance	475	2174.0	false	1
215	53	2	1	Sample Product	1901-02-01	16	15	Sample Insurance	266	363.0	true	3
216	54	2	1	Sample Product	1901-02-01	9	17	Sample Insurance	1794	1555.0	false	1
217	54	3	1	Sample Product	1901-02-01	17	10	Sample Insurance	1802	349.0	true	9
218	54	4	0	Sample Product	1901-02-01	19	11	Sample Insurance	86	1869.0	true	10
219	54	2	2	Sample Product	1901-02-01	4	18	Sample Insurance	571	38.0	true	3
220	55	0	1	Sample Product	1901-02-01	5	17	Sample Insurance	1215	484.0	true	9
221	55	2	2	Sample Product	1901-02-01	11	0	Sample Insurance	733	139.0	false	6
222	55	1	2	Sample Product	1901-02-01	19	8	Sample Insurance	661	1828.0	true	4
223	55	2	2	Sample Product	1901-02-01	9	4	Sample Insurance	1761	3400.0	true	3
224	56	2	0	Sample Product	1901-02-01	15	12	Sample Insurance	276	2199.0	false	6
225	56	0	2	Sample Product	1901-02-01	2	2	Sample Insurance	45	1934.0	false	8
226	56	1	2	Sample Product	1901-02-01	5	12	Sample Insurance	983	229.0	false	4
227	56	3	1	Sample Product	1901-02-01	7	12	Sample Insurance	937	1437.0	false	9
228	57	1	1	Sample Product	1901-02-01	18	13	Sample Insurance	423	479.0	true	8
229	57	1	2	Sample Product	1901-02-01	12	17	Sample Insurance	249	4798.0	false	3
230	57	4	1	Sample Product	1901-02-01	1	14	Sample Insurance	544	2692.0	true	10
231	57	1	3	Sample Product	1901-02-01	6	11	Sample Insurance	185	2608.0	false	0
232	58	1	2	Sample Product	1901-02-01	3	5	Sample Insurance	139	4179.0	false	1
233	58	0	1	Sample Product	1901-02-01	18	15	Sample Insurance	730	3060.0	true	10
234	58	1	1	Sample Product	1901-02-01	5	1	Sample Insurance	1327	2863.0	true	8
235	58	3	2	Sample Product	1901-02-01	1	11	Sample Insurance	1478	3745.0	false	3
236	59	4	1	Sample Product	1901-02-01	10	3	Sample Insurance	980	3450.0	false	7
237	59	1	2	Sample Product	1901-02-01	9	3	Sample Insurance	906	2843.0	false	3
238	59	2	0	Sample Product	1901-02-01	18	6	Sample Insurance	93	4262.0	true	4
239	59	2	0	Sample Product	1901-02-01	16	8	Sample Insurance	93	2207.0	false	5
240	60	1	2	Sample Product	1901-02-01	3	14	Sample Insurance	105	2201.0	true	6
241	60	2	1	Sample Product	1901-02-01	8	20	Sample Insurance	1887	4842.0	false	10
242	60	3	1	Sample Product	1901-02-01	16	3	Sample Insurance	1159	3368.0	false	3
243	60	1	1	Sample Product	1901-02-01	2	6	Sample Insurance	511	4281.0	false	2
244	61	3	3	Sample Product	1901-02-01	5	4	Sample Insurance	1311	1819.0	false	2
245	61	2	0	Sample Product	1901-02-01	14	14	Sample Insurance	628	3351.0	false	3
246	61	0	2	Sample Product	1901-02-01	7	2	Sample Insurance	1683	3966.0	true	5
247	61	4	1	Sample Product	1901-02-01	11	9	Sample Insurance	830	4837.0	false	4
248	62	4	1	Sample Product	1901-02-01	15	12	Sample Insurance	564	1131.0	true	6
249	62	1	0	Sample Product	1901-02-01	18	4	Sample Insurance	594	1543.0	false	6
250	62	1	3	Sample Product	1901-02-01	15	4	Sample Insurance	1451	2733.0	true	4
251	62	1	1	Sample Product	1901-02-01	8	19	Sample Insurance	1670	3235.0	true	2
252	63	1	0	Sample Product	1901-02-01	18	2	Sample Insurance	38	2624.0	true	8
253	63	1	1	Sample Product	1901-02-01	19	15	Sample Insurance	916	2998.0	true	4
254	63	4	3	Sample Product	1901-02-01	6	16	Sample Insurance	1153	1077.0	true	5
255	63	2	3	Sample Product	1901-02-01	7	14	Sample Insurance	1585	470.0	false	8
256	64	4	2	Sample Product	1901-02-01	10	12	Sample Insurance	639	4906.0	false	8
257	64	4	3	Sample Product	1901-02-01	20	18	Sample Insurance	47	4482.0	false	6
258	64	1	2	Sample Product	1901-02-01	1	0	Sample Insurance	1174	3237.0	true	2
259	64	2	1	Sample Product	1901-02-01	0	13	Sample Insurance	968	2584.0	true	2
260	65	3	2	Sample Product	1901-02-01	16	16	Sample Insurance	1047	1425.0	true	5
261	65	1	3	Sample Product	1901-02-01	0	6	Sample Insurance	1923	4973.0	false	9
262	65	3	2	Sample Product	1901-02-01	14	1	Sample Insurance	871	612.0	true	5
263	65	0	2	Sample Product	1901-02-01	2	12	Sample Insurance	461	312.0	false	2
264	66	1	1	Sample Product	1901-02-01	9	17	Sample Insurance	1245	433.0	true	2
265	66	4	2	Sample Product	1901-02-01	6	19	Sample Insurance	617	942.0	false	4
266	66	0	1	Sample Product	1901-02-01	14	0	Sample Insurance	359	2362.0	true	7
267	66	1	1	Sample Product	1901-02-01	6	13	Sample Insurance	1862	4992.0	false	7
268	67	1	0	Sample Product	1901-02-01	17	6	Sample Insurance	550	1206.0	false	6
269	67	2	1	Sample Product	1901-02-01	1	8	Sample Insurance	1505	2879.0	false	8
270	67	1	0	Sample Product	1901-02-01	12	17	Sample Insurance	795	2242.0	false	6
271	67	1	0	Sample Product	1901-02-01	1	11	Sample Insurance	1535	712.0	true	5
272	68	2	2	Sample Product	1901-02-01	8	1	Sample Insurance	154	1503.0	false	5
273	68	3	2	Sample Product	1901-02-01	15	16	Sample Insurance	914	3074.0	true	2
274	68	3	2	Sample Product	1901-02-01	16	12	Sample Insurance	1159	1697.0	false	1
275	68	2	1	Sample Product	1901-02-01	17	15	Sample Insurance	314	2717.0	false	10
276	69	2	2	Sample Product	1901-02-01	11	18	Sample Insurance	147	1287.0	true	1
277	69	1	2	Sample Product	1901-02-01	6	9	Sample Insurance	291	4641.0	true	10
278	69	4	3	Sample Product	1901-02-01	5	16	Sample Insurance	1538	4200.0	true	1
279	69	1	1	Sample Product	1901-02-01	12	2	Sample Insurance	1918	2065.0	true	1
280	70	2	0	Sample Product	1901-02-01	13	17	Sample Insurance	1059	2690.0	true	3
281	70	3	3	Sample Product	1901-02-01	11	2	Sample Insurance	852	1802.0	true	2
282	70	2	1	Sample Product	1901-02-01	14	8	Sample Insurance	911	844.0	true	3
283	70	2	0	Sample Product	1901-02-01	9	11	Sample Insurance	1852	1522.0	true	7
284	71	4	3	Sample Product	1901-02-01	3	8	Sample Insurance	1887	1227.0	true	0
285	71	0	2	Sample Product	1901-02-01	7	7	Sample Insurance	744	1410.0	false	7
286	71	1	1	Sample Product	1901-02-01	20	9	Sample Insurance	1429	2183.0	false	1
287	71	0	3	Sample Product	1901-02-01	10	4	Sample Insurance	822	2723.0	true	3
288	72	3	0	Sample Product	1901-02-01	4	3	Sample Insurance	633	3264.0	false	2
289	72	1	1	Sample Product	1901-02-01	5	10	Sample Insurance	706	732.0	true	1
290	72	2	1	Sample Product	1901-02-01	15	12	Sample Insurance	1200	1322.0	false	5
291	72	3	3	Sample Product	1901-02-01	5	13	Sample Insurance	637	4572.0	false	6
292	73	1	1	Sample Product	1901-02-01	9	10	Sample Insurance	1332	4731.0	false	0
293	73	2	0	Sample Product	1901-02-01	3	1	Sample Insurance	221	1473.0	true	5
294	73	1	2	Sample Product	1901-02-01	6	8	Sample Insurance	1573	3260.0	true	6
295	73	2	0	Sample Product	1901-02-01	16	10	Sample Insurance	620	2897.0	false	0
296	74	0	3	Sample Product	1901-02-01	17	3	Sample Insurance	1592	1091.0	true	6
297	74	0	1	Sample Product	1901-02-01	13	7	Sample Insurance	180	58.0	true	9
298	74	3	2	Sample Product	1901-02-01	13	2	Sample Insurance	920	478.0	true	4
299	74	4	0	Sample Product	1901-02-01	15	1	Sample Insurance	518	1350.0	true	4
300	75	3	2	Sample Product	1901-02-01	2	0	Sample Insurance	621	3554.0	true	0
301	75	1	1	Sample Product	1901-02-01	20	10	Sample Insurance	38	4158.0	false	7
302	75	2	2	Sample Product	1901-02-01	1	14	Sample Insurance	919	4781.0	true	8
303	75	3	0	Sample Product	1901-02-01	18	11	Sample Insurance	1907	3566.0	false	1
304	76	2	0	Sample Product	1901-02-01	0	2	Sample Insurance	1762	1544.0	false	4
305	76	2	3	Sample Product	1901-02-01	19	12	Sample Insurance	1469	467.0	false	0
306	76	3	3	Sample Product	1901-02-01	7	1	Sample Insurance	1338	390.0	false	8
307	76	1	3	Sample Product	1901-02-01	15	6	Sample Insurance	103	1559.0	false	6
308	77	1	3	Sample Product	1901-02-01	8	3	Sample Insurance	1528	1412.0	true	1
309	77	4	3	Sample Product	1901-02-01	9	3	Sample Insurance	530	3736.0	false	9
